elapsed_s	state	tx	rx	malformed	decrypt_fail	mac_fail	src_viol	unroutable	rss_kb	ping_ms
1	established	189020	95850	0	0	0	0	3	5324	1.19
63	established	4731297	2374835	0	0	0	0	5	5336	1.54
125	established	9037469	4542967	0	0	0	0	6	5340	1.55
186	established	13539121	6815356	0	0	0	0	6	5348	1.35
248	established	18075612	9105844	0	0	0	0	7	5348	0.869
310	established	22677798	11407653	0	0	0	0	7	5348	2.02
372	established	27280297	13708323	0	0	0	0	7	5352	1.84
434	established	31777022	15974208	0	0	0	0	7	5352	1.06
495	established	36192708	18203183	0	0	0	0	8	5352	1.21
557	established	40020871	20134458	0	0	0	0	8	5352	1.76
619	established	44506516	22388430	0	0	0	0	8	5352	1.27
681	established	49012562	24652465	0	0	0	0	8	5352	1.35
742	established	53544234	26936400	0	0	0	0	8	5352	1.30
804	established	57881320	29120678	0	0	0	0	8	5352	2.02
866	established	62040297	31219331	0	0	0	0	8	5352	1.12
927	established	66611548	33525232	0	0	0	0	8	5352	1.76
989	established	71165802	35818306	0	0	0	0	9	5352	2.28
1051	established	75736989	38125330	0	0	0	0	9	5352	2.04
1113	established	80270297	40395372	0	0	0	0	9	5352	1.89
1175	established	84624299	42593476	0	0	0	0	9	5352	1.04
1236	established	89201679	44901353	0	0	0	0	9	5352	1.39
1298	established	93732015	47186700	0	0	0	0	9	5352	1.67
1360	established	98265726	49475154	0	0	0	0	9	5352	1.44
1421	established	102690860	51709435	0	0	0	0	9	5352	1.80
1483	established	107282631	54027490	0	0	0	0	9	5352	1.13
1545	established	111714218	56263170	0	0	0	0	9	5352	1.44
1607	established	116255047	58557282	0	0	0	0	9	5352	1.43
1669	established	120832539	60865558	0	0	0	0	9	5352	1.78
1730	established	125239330	63089762	0	0	0	0	9	5352	1.35
1792	established	129780564	65381134	0	0	0	0	9	5352	1.60
1854	established	134109012	67566761	0	0	0	0	9	5352	1.88
1916	established	138282766	69667268	0	0	0	0	10	5352	1.57
1977	established	141739114	71410636	0	0	0	0	10	5352	1.28
2039	established	145612048	73364793	0	0	0	0	10	5352	2.01
2100	established	149929063	75543187	0	0	0	0	10	5352	1.73
2162	established	154287599	77733375	0	0	0	0	10	5352	0.939
2224	established	158722069	79972246	0	0	0	0	10	5352	1.13
2286	established	163164985	82209304	0	0	0	0	10	5352	1.15
2348	established	167720762	84504076	0	0	0	0	10	5356	1.15
2409	established	172306340	86811129	0	0	0	0	10	5352	1.06
2471	established	176906632	89120920	0	0	0	0	10	5352	1.40
2533	established	181464899	91421094	0	0	0	0	10	5352	1.80
2595	established	185980690	93700738	0	0	0	0	10	5352	1.84
2657	established	190062971	95760824	0	0	0	0	10	5352	1.44
2719	established	194506023	97997775	0	0	0	0	10	5352	0.892
2781	established	198977634	100239217	0	0	0	0	10	5352	1.94
2842	established	202535862	102034226	0	0	0	0	10	5352	1.42
2904	established	205997526	103780405	0	0	0	0	10	5352	1.93
2966	established	210303061	105948168	0	0	0	0	10	5352	1.40
3027	established	214825743	108229046	0	0	0	0	10	5352	2.51
3089	established	218765778	110216508	0	0	0	0	10	5352	1.12
3151	established	223036788	112371022	0	0	0	0	10	5352	1.63
3213	established	227518612	114631680	0	0	0	0	10	5352	1.55
3274	established	231927324	116852750	0	0	0	0	10	5352	1.91
3336	established	236178054	118998875	0	0	0	0	10	5352	1.80
3398	established	240610620	121235204	0	0	0	0	10	5352	1.73
3460	established	244208191	123049451	0	0	0	0	10	5352	1.54
3521	established	248709169	125320874	0	0	0	0	10	5352	1.89
3583	established	253325472	127648780	0	0	0	0	10	5352	1.51
3645	established	257956299	129981693	0	0	0	0	10	5352	1.01
3707	established	262151213	132097587	0	0	0	0	10	5352	1.55
3768	established	265906810	133989799	0	0	0	0	11	5352	1.66
3830	established	270329561	136214289	0	0	0	0	11	5352	1.74
3892	established	274812339	138477258	0	0	0	0	11	5352	1.47
3954	established	279323270	140748407	0	0	0	0	11	5352	1.64
4016	established	283611089	142911023	0	0	0	0	11	5352	1.06
4077	established	288170501	145212661	0	0	0	0	11	5352	1.42
4139	established	292726135	147512073	0	0	0	0	11	5352	1.15
4201	established	297330627	149833087	0	0	0	0	11	5352	1.18
4262	established	301925505	152152454	0	0	0	0	11	5352	0.863
4324	established	306456344	154439970	0	0	0	0	11	5352	1.08
4386	established	310991785	156725507	0	0	0	0	11	5352	1.55
4448	established	315521019	159011428	0	0	0	0	11	5352	1.30
4510	established	319963217	161239938	0	0	0	0	11	5352	1.60
4571	established	324304931	163425856	0	0	0	0	11	5352	0.851
4633	established	328733579	165654151	0	0	0	0	11	5352	1.63
4695	established	333153379	167881171	0	0	0	0	11	5352	1.32
4757	established	337655552	170152544	0	0	0	0	11	5352	1.03
4818	established	341430804	172056661	0	0	0	0	11	5352	1.70
4880	established	345780120	174249351	0	0	0	0	11	5352	1.90
4942	established	350262744	176507840	0	0	0	0	11	5352	1.37
5004	established	354733374	178764748	0	0	0	0	11	5352	1.91
5065	established	359213307	181026334	0	0	0	0	11	5352	1.56
5127	established	363609283	183243678	0	0	0	0	11	5352	0.691
5189	established	368023128	185469510	0	0	0	0	11	5352	1.98
5250	established	372504703	187725315	0	0	0	0	11	5352	1.63
5312	established	377013158	189992271	0	0	0	0	11	5352	1.13
5374	established	381549542	192281718	0	0	0	0	11	5352	1.39
5436	established	386170972	194613698	0	0	0	0	11	5352	1.60
5497	established	390492021	196794634	0	0	0	0	11	5352	2.12
5559	established	394216031	198673879	0	0	0	0	11	5352	1.67
5621	established	398572988	200873520	0	0	0	0	11	5352	1.15
5683	established	402316627	202760180	0	0	0	0	11	5352	1.78
5744	established	406688765	204967819	0	0	0	0	11	5352	1.56
5806	established	411249596	207266511	0	0	0	0	11	5352	0.748
5868	established	415767365	209546067	0	0	0	0	11	5356	1.54
5929	established	420322870	211846345	0	0	0	0	11	5352	1.24
5991	established	424791466	214099410	0	0	0	0	11	5352	1.08
6053	established	429301201	216373813	0	0	0	0	11	5352	1.73
6115	established	433354974	218415664	0	0	0	0	11	5352	1.60
6177	established	437859726	220688632	0	0	0	0	11	5352	1.79
6238	established	442382088	222967850	0	0	0	0	11	5352	1.31
6300	established	446969917	225283239	0	0	0	0	11	5352	1.25
6362	established	451569404	227601658	0	0	0	0	11	5352	1.73
6424	established	456135332	229905966	0	0	0	0	11	5352	0.729
6485	established	460601371	232149081	0	0	0	0	11	5352	1.51
6547	established	464788556	234262191	0	0	0	0	11	5352	1.05
6609	established	469355571	236568048	0	0	0	0	11	5352	1.61
6670	established	473930635	238876907	0	0	0	0	11	5352	1.51
6732	established	478555512	241206089	0	0	0	0	11	5352	1.28
6794	established	483186072	243538745	0	0	0	0	11	5352	1.57
6856	established	487747099	245826853	0	0	0	0	11	5352	1.23
6917	established	492217722	248077583	0	0	0	0	11	5352	1.35
6979	established	496650650	250314791	0	0	0	0	11	5352	1.31
7041	established	501192592	252605547	0	0	0	0	11	5352	1.24
7102	established	505739158	254893318	0	0	0	0	11	5352	1.68
7164	established	510362501	257207081	0	0	0	0	11	5352	0.813
7226	established	514900276	259469293	0	0	0	0	11	5352	1.31
7288	established	519101415	261588515	0	0	0	0	11	5352	1.46
7349	established	523433670	263773898	0	0	0	0	11	5352	1.95
7411	established	527888852	266018356	0	0	0	0	11	5352	0.831
7473	established	532477696	268334626	0	0	0	0	11	5352	1.43
7535	established	537021193	270623142	0	0	0	0	11	5352	1.31
7596	established	541603052	272935249	0	0	0	0	11	5352	1.19
7658	established	546187481	275249944	0	0	0	0	12	5352	2.08
7720	established	550615757	277485137	0	0	0	0	12	5352	1.00
7782	established	555020870	279703143	0	0	0	0	12	5352	0.807
7844	established	559614561	282023088	0	0	0	0	12	5352	1.61
7905	established	564161681	284317603	0	0	0	0	12	5352	2.30
7967	established	568745051	286630064	0	0	0	0	12	5352	1.23
8028	established	573322333	288940258	0	0	0	0	12	5352	1.85
8090	established	577821050	291209721	0	0	0	0	12	5352	1.14
8152	established	582308085	293474880	0	0	0	0	12	5352	1.40
8214	established	586021273	295348472	0	0	0	0	12	5352	1.81
8275	established	590216531	297465792	0	0	0	0	12	5352	1.20
8337	established	594002838	299375986	0	0	0	0	12	5352	1.30
8399	established	598542790	301663950	0	0	0	0	12	5352	1.36
8460	established	603109598	303965667	0	0	0	0	12	5352	1.67
8522	established	607591200	306229015	0	0	0	0	12	5352	1.35
8584	established	611713937	308309405	0	0	0	0	12	5352	0.933
8646	established	615494629	310215632	0	0	0	0	12	5352	1.06
8708	established	620071191	312522991	0	0	0	0	12	5352	0.808
8770	established	624500178	314756815	0	0	0	0	12	5352	0.752
8831	established	629027222	317036953	0	0	0	0	12	5352	1.62
8893	established	633559849	319318686	0	0	0	0	12	5352	1.86
8955	established	638117860	321619084	0	0	0	0	12	5352	1.18
9017	established	642626196	323881066	0	0	0	0	12	5352	1.17
9079	established	646889777	326032326	0	0	0	0	12	5352	1.63
9140	established	651242072	328228219	0	0	0	0	12	5352	1.52
9202	established	655845878	330547888	0	0	0	0	12	5352	1.97
9264	established	660303141	332794645	0	0	0	0	12	5352	2.18
9326	established	663860346	334586371	0	0	0	0	12	5352	1.26
9388	established	667821983	336581089	0	0	0	0	12	5352	1.30
9449	established	672329463	338855553	0	0	0	0	12	5352	1.27
9511	established	676917637	341172031	0	0	0	0	12	5352	1.55
9573	established	681486736	343478884	0	0	0	0	12	5352	1.35
9635	established	685214710	345359614	0	0	0	0	12	5352	1.86
9696	established	688878543	347207884	0	0	0	0	12	5352	1.51
9758	established	692499478	349033475	0	0	0	0	12	5352	2.22
9820	established	696201005	350893925	0	0	0	0	12	5352	1.69
9882	established	699723674	352669714	0	0	0	0	12	5352	1.28
9943	established	703515272	354582516	0	0	0	0	12	5352	1.20
10005	established	708080522	356886597	0	0	0	0	12	5352	1.48
10067	established	712638282	359183942	0	0	0	0	12	5352	1.04
10129	established	717149616	361454000	0	0	0	0	12	5352	1.59
10191	established	721607943	363704593	0	0	0	0	12	5352	1.40
