elapsed_s	state	tx	rx	malformed	mac_fail	src_viol	unroutable	rss_kb	ping_ms
1	established	146336	74025	0	0	0	3	5288	1.37
63	established	4411991	2224773	0	0	0	5	5304	0.845
125	established	8850349	4466118	0	0	0	6	5308	1.24
187	established	12948628	6534838	0	0	0	6	5308	1.51
248	established	17192336	8676901	0	0	0	7	5312	1.66
310	established	21634266	10919546	0	0	0	7	5316	1.15
372	established	26104021	13176244	0	0	0	7	5316	1.70
434	established	30247026	15267567	0	0	0	7	5316	2.85
496	established	34454878	17391720	0	0	0	7	5316	1.42
557	established	38699514	19535415	0	0	0	8	5316	1.65
619	established	43000852	21706907	0	0	0	8	5316	1.40
681	established	47211730	23832867	0	0	0	8	5316	1.43
743	established	51612567	26052201	0	0	0	8	5316	1.84
804	established	55886080	28209438	0	0	0	8	5316	1.55
866	established	60016366	30293944	0	0	0	8	5316	1.29
928	established	64361922	32485035	0	0	0	8	5316	1.24
990	established	68718250	34683963	0	0	0	8	5316	1.58
1052	established	72952039	36822071	0	0	0	8	5316	1.37
1113	established	77294188	39014804	0	0	0	9	5320	1.85
1175	established	81499969	41132401	0	0	0	9	5320	1.23
1237	established	85695834	43250471	0	0	0	9	5320	1.45
1298	established	89968443	45405784	0	0	0	9	5320	1.95
1362	established	90640367	45744952	0	0	0	9	5320	LOSS
1426	established	90640370	45744952	0	0	0	9	5320	LOSS
1490	established	90640371	45744952	0	0	0	9	5320	LOSS
1553	established	90640373	45744952	0	0	0	9	5320	LOSS
1617	established	90640374	45744952	0	0	0	9	5320	LOSS
1681	established	90640376	45744952	0	0	0	9	5320	LOSS
1745	established	90640377	45744952	0	0	0	9	5320	LOSS
1809	established	90640379	45744952	0	0	0	9	5320	LOSS
1873	established	90640380	45744952	0	0	0	9	5320	LOSS
1934	established	90640382	45744952	0	0	0	9	5320	0.758
1996	established	90640383	45744953	0	0	0	9	5320	0.789
2058	established	93695954	47286632	0	0	0	9	5320	1.87
2120	established	97947208	49433793	0	0	0	9	5320	2.01
2182	established	101884487	51420550	0	0	0	10	5320	1.65
2243	established	106061342	53523669	0	0	0	10	5320	1.22
2305	established	110307830	55666148	0	0	0	10	5320	1.55
2367	established	114380999	57721094	0	0	0	10	5320	1.67
2429	established	118637749	59868347	0	0	0	10	5320	1.46
2491	established	123084130	62112735	0	0	0	10	5320	1.72
2553	established	127268775	64224196	0	0	0	10	5320	1.92
2614	established	131341129	66277197	0	0	0	10	5320	1.95
2676	established	135687558	68469914	0	0	0	10	5320	1.79
2738	established	140182272	70738538	0	0	0	10	5320	1.38
2800	established	144095792	72714631	0	0	0	10	5320	1.06
